107878 305.58 3.13105
107873 305.575 3.92722
107859 305.563 6.26898
107833 305.543 9.20738
107791 305.51 12.5671
107729 305.461 16.2813
107643 305.392 20.2973
107531 305.301 24.5588
107390 305.186 29.0051
107221 305.047 33.5743
107024 304.884 38.2071
106800 304.699 42.8492
106554 304.493 47.4528
106287 304.27 51.9766
106004 304.034 56.3853
105708 303.786 60.6491
105405 303.531 64.7428
105097 303.272 68.6456
104790 303.013 72.3404
104487 302.757 75.8139
104191 302.507 79.057
103907 302.266 82.0641
103636 302.036 84.833
103380 301.819 87.3652
103142 301.616 89.6656
102923 301.428 91.7415
102722 301.255 93.603
102539 301.099 95.2618
102375 300.958 96.731
102229 300.832 98.0247
102100 300.72 99.1573
101986 300.621 100.143
101887 300.535 100.997
101801 300.459 101.731
101727 300.395 102.36
101664 300.339 102.893
101611 300.292 103.342
101566 300.249 103.718
101528 300.223 104.032
101495 300.168 104.301
101454 300.437 104.493
107840 305.568 6.06179
107836 305.562 6.62791
107822 305.547 8.50123
107797 305.523 11.1347
107756 305.486 14.3036
107696 305.433 17.8837
107611 305.359 21.7915
107500 305.263 25.9559
107362 305.144 30.3099
107195 305.001 34.7895
107000 304.835 39.3352
106779 304.647 43.8933
106535 304.44 48.4166
106271 304.217 52.8643
105990 303.98 57.2012
105696 303.734 61.3977
105394 303.48 65.4283
105088 303.223 69.2722
104782 302.966 72.912
104481 302.712 76.3344
104186 302.464 79.5299
103903 302.225 82.4928
103632 301.998 85.2208
103378 301.783 87.7153
103140 301.582 89.9807
102921 301.396 92.0246
102720 301.226 93.8567
102538 301.071 95.4885
102375 300.932 96.9331
102229 300.807 98.2043
102100 300.696 99.3165
101986 300.599 100.284
101887 300.514 101.121
101801 300.44 101.84
101727 300.376 102.455
101664 300.321 102.976
101611 300.275 103.415
101566 300.233 103.782
101528 300.208 104.086
101496 300.152 104.338
101460 300.444 104.509
107744 305.505 12.3885
107740 305.497 12.8618
107728 305.477 14.3721
107705 305.447 16.5757
107666 305.402 19.3179
107606 305.34 22.4829
107524 305.259 25.9836
107416 305.157 29.7486
107281 305.033 33.7149
107119 304.888 37.8245
106929 304.722 42.0234
106714 304.537 46.262
106475 304.334 50.4951
106216 304.115 54.6822
105941 303.884 58.7873
105652 303.644 62.7789
105355 303.396 66.6293
105054 303.146 70.315
104752 302.895 73.8164
104453 302.647 77.1179
104162 302.404 80.2078
103881 302.17 83.0785
103614 301.947 85.7263
103362 301.736 88.151
103126 301.539 90.3558
102909 301.356 92.3469
102710 301.189 94.1332
102529 301.037 95.7253
102367 300.9 97.1354
102222 300.777 98.3767
102094 300.669 99.4631
101981 300.573 100.408
101883 300.489 101.226
101798 300.416 101.928
101724 300.354 102.529
101662 300.3 103.038
101609 300.255 103.467
101564 300.213 103.825
101527 300.189 104.12
101496 300.134 104.362
101461 300.444 104.521
107597 305.377 19.3837
107594 305.367 19.8555
107584 305.344 21.2465
107563 305.309 23.1878
107525 305.259 25.5458
107467 305.193 28.2337
107387 305.109 31.1953
107282 305.008 34.3903
107151 304.888 37.7841
106994 304.749 41.342
106810 304.592 45.0271
106602 304.416 48.8005
106371 304.224 52.622
106120 304.017 56.4517
105853 303.797 60.251
105572 303.566 63.9839
105282 303.328 67.6176
104988 303.085 71.1228
104693 302.842 74.4747
104400 302.6 77.6528
104115 302.363 80.6412
103840 302.134 83.4285
103577 301.915 86.0078
103329 301.708 88.3764
103098 301.514 90.5353
102884 301.335 92.4889
102688 301.17 94.2445
